seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,Arena,datetime,isRegular,game_id,homeTeam_abb,awayTeam_abb,MatchUp,bs_url,pbp_url
2023,Oklahoma City Thunder,123.0,Sacramento Kings,128.0,17794.0,,10:00p,Golden 1 Center,2023-12-14,1,355,SAC,OKC,OKC@SAC,https://www.basketball-reference.com/boxscores/202312140SAC.html,https://www.basketball-reference.com/boxscores/pbp/202312140SAC.html
2023,Golden State Warriors,113.0,Los Angeles Clippers,121.0,19370.0,,10:30p,Crypto.com Arena,2023-12-14,1,356,LAC,GSW,GSW@LAC,https://www.basketball-reference.com/boxscores/202312140LAC.html,https://www.basketball-reference.com/boxscores/pbp/202312140LAC.html
2023,New York Knicks,139.0,Phoenix Suns,122.0,17071.0,,10:00p,Footprint Center,2023-12-15,1,357,PHO,NYK,NYK@PHO,https://www.basketball-reference.com/boxscores/202312150PHO.html,https://www.basketball-reference.com/boxscores/pbp/202312150PHO.html
2023,Houston Rockets,103.0,Memphis Grizzlies,96.0,16941.0,,8:00p,FedEx Forum,2023-12-15,1,358,MEM,HOU,HOU@MEM,https://www.basketball-reference.com/boxscores/202312150MEM.html,https://www.basketball-reference.com/boxscores/pbp/202312150MEM.html
2023,Atlanta Hawks,125.0,Toronto Raptors,104.0,19800.0,,7:30p,Scotiabank Arena,2023-12-15,1,359,TOR,ATL,ATL@TOR,https://www.basketball-reference.com/boxscores/202312150TOR.html,https://www.basketball-reference.com/boxscores/pbp/202312150TOR.html
2023,Los Angeles Lakers,115.0,San Antonio Spurs,129.0,18354.0,,7:30p,Frost Bank Center,2023-12-15,1,360,SAS,LAL,LAL@SAS,https://www.basketball-reference.com/boxscores/202312150SAS.html,https://www.basketball-reference.com/boxscores/pbp/202312150SAS.html
2023,Detroit Pistons,92.0,Philadelphia 76ers,124.0,19761.0,,7:00p,Wells Fargo Center,2023-12-15,1,361,PHI,DET,DET@PHI,https://www.basketball-reference.com/boxscores/202312150PHI.html,https://www.basketball-reference.com/boxscores/pbp/202312150PHI.html
2023,Indiana Pacers,123.0,Washington Wizards,137.0,15208.0,,7:00p,Capital One Arena,2023-12-15,1,362,WAS,IND,IND@WAS,https://www.basketball-reference.com/boxscores/202312150WAS.html,https://www.basketball-reference.com/boxscores/pbp/202312150WAS.html
2023,Orlando Magic,111.0,Boston Celtics,128.0,19156.0,,7:30p,TD Garden,2023-12-15,1,363,BOS,ORL,ORL@BOS,https://www.basketball-reference.com/boxscores/202312150BOS.html,https://www.basketball-reference.com/boxscores/pbp/202312150BOS.html
2023,New Orleans Pelicans,112.0,Charlotte Hornets,107.0,16080.0,,7:00p,Spectrum Center,2023-12-15,1,364,CHA,NOP,NOP@CHA,https://www.basketball-reference.com/boxscores/202312150CHA.html,https://www.basketball-reference.com/boxscores/pbp/202312150CHA.html
